Column1,AREA,OCC_CODE,AREA_NAME,TOT_EMP,OCC_TITLE,NORM_EMP
137767,47664,11-9199,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1860.0,"Managers, All Other",186.0
137769,47664,13-1011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",140.0,"Agents and Business Managers of Artists, Performers, and Athletes",14.0
137771,47664,13-1031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",2260.0,"Claims Adjusters, Examiners, and Investigators",226.0
137772,47664,13-1041,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1340.0,Compliance Officers,134.0
137773,47664,13-1051,"Warren-Troy-Farmington Hills, MI Metropolitan Division",2170.0,Cost Estimators,217.0
137774,47664,13-1071,"Warren-Troy-Farmington Hills, MI Metropolitan Division",4970.0,Human Resources Specialists,497.0
137775,47664,13-1075,"Warren-Troy-Farmington Hills, MI Metropolitan Division",530.0,Labor Relations Specialists,53.0
137776,47664,13-1081,"Warren-Troy-Farmington Hills, MI Metropolitan Division",3570.0,Logisticians,357.0
137777,47664,13-1111,"Warren-Troy-Farmington Hills, MI Metropolitan Division",5940.0,Management Analysts,594.0
137778,47664,13-1121,"Warren-Troy-Farmington Hills, MI Metropolitan Division",830.0,"Meeting, Convention, and Event Planners",83.0
137779,47664,13-1131,"Warren-Troy-Farmington Hills, MI Metropolitan Division",360.0,Fundraisers,36.0
137780,47664,13-1141,"Warren-Troy-Farmington Hills, MI Metropolitan Division",550.0,"Compensation, Benefits, and Job Analysis Specialists",55.0
137781,47664,13-1151,"Warren-Troy-Farmington Hills, MI Metropolitan Division",2010.0,Training and Development Specialists,201.0
137782,47664,13-1161,"Warren-Troy-Farmington Hills, MI Metropolitan Division",6160.0,Market Research Analysts and Marketing Specialists,616.0
137783,47664,13-1199,"Warren-Troy-Farmington Hills, MI Metropolitan Division",8500.0,"Business Operations Specialists, All Other",850.0
137784,47664,13-2011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",10390.0,Accountants and Auditors,1039.0
137785,47664,13-2021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",790.0,Appraisers and Assessors of Real Estate,79.0
137786,47664,13-2031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",210.0,Budget Analysts,21.0
137787,47664,13-2041,"Warren-Troy-Farmington Hills, MI Metropolitan Division",570.0,Credit Analysts,57.0
137788,47664,13-2051,"Warren-Troy-Farmington Hills, MI Metropolitan Division",2210.0,Financial Analysts,221.0
137789,47664,13-2052,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1630.0,Personal Financial Advisors,163.0
137790,47664,13-2053,"Warren-Troy-Farmington Hills, MI Metropolitan Division",550.0,Insurance Underwriters,55.0
137791,47664,13-2061,"Warren-Troy-Farmington Hills, MI Metropolitan Division",250.0,Financial Examiners,25.0
137792,47664,13-2071,"Warren-Troy-Farmington Hills, MI Metropolitan Division",550.0,Credit Counselors,55.0
137793,47664,13-2072,"Warren-Troy-Farmington Hills, MI Metropolitan Division",3490.0,Loan Officers,349.0
137794,47664,13-2081,"Warren-Troy-Farmington Hills, MI Metropolitan Division",190.0,"Tax Examiners and Collectors, and Revenue Agents",19.0
137795,47664,13-2082,"Warren-Troy-Farmington Hills, MI Metropolitan Division",800.0,Tax Preparers,80.0
137798,47664,15-1111,"Warren-Troy-Farmington Hills, MI Metropolitan Division",140.0,Computer and Information Research Scientists,14.0
137799,47664,15-1121,"Warren-Troy-Farmington Hills, MI Metropolitan Division",7260.0,Computer Systems Analysts,726.0
137800,47664,15-1122,"Warren-Troy-Farmington Hills, MI Metropolitan Division",580.0,Information Security Analysts,58.0
137801,47664,15-1131,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1800.0,Computer Programmers,180.0
137802,47664,15-1132,"Warren-Troy-Farmington Hills, MI Metropolitan Division",11480.0,"Software Developers, Applications",1148.0
137803,47664,15-1133,"Warren-Troy-Farmington Hills, MI Metropolitan Division",5390.0,"Software Developers, Systems Software",539.0
137804,47664,15-1134,"Warren-Troy-Farmington Hills, MI Metropolitan Division",980.0,Web Developers,98.0
137805,47664,15-1141,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1100.0,Database Administrators,110.0
137806,47664,15-1142,"Warren-Troy-Farmington Hills, MI Metropolitan Division",3440.0,Network and Computer Systems Administrators,344.0
137807,47664,15-1143,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1460.0,Computer Network Architects,146.0
137808,47664,15-1151,"Warren-Troy-Farmington Hills, MI Metropolitan Division",6270.0,Computer User Support Specialists,627.0
137809,47664,15-1152,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1500.0,Computer Network Support Specialists,150.0
137810,47664,15-1199,"Warren-Troy-Farmington Hills, MI Metropolitan Division",4010.0,"Computer Occupations, All Other",401.0
137811,47664,15-2011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",110.0,Actuaries,11.0
137812,47664,15-2031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",730.0,Operations Research Analysts,73.0
137813,47664,15-2041,"Warren-Troy-Farmington Hills, MI Metropolitan Division",120.0,Statisticians,12.0
137815,47664,17-1011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1040.0,"Architects, Except Landscape and Naval",104.0
137818,47664,17-1022,"Warren-Troy-Farmington Hills, MI Metropolitan Division",400.0,Surveyors,40.0
137819,47664,17-2011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",70.0,Aerospace Engineers,7.0
137820,47664,17-2041,"Warren-Troy-Farmington Hills, MI Metropolitan Division",240.0,Chemical Engineers,24.0
137821,47664,17-2051,"Warren-Troy-Farmington Hills, MI Metropolitan Division",4200.0,Civil Engineers,420.0
137822,47664,17-2061,"Warren-Troy-Farmington Hills, MI Metropolitan Division",900.0,Computer Hardware Engineers,90.0
137823,47664,17-2071,"Warren-Troy-Farmington Hills, MI Metropolitan Division",4390.0,Electrical Engineers,439.0
137824,47664,17-2072,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1640.0,"Electronics Engineers, Except Computer",164.0
137825,47664,17-2081,"Warren-Troy-Farmington Hills, MI Metropolitan Division",240.0,Environmental Engineers,24.0
137826,47664,17-2111,"Warren-Troy-Farmington Hills, MI Metropolitan Division",340.0,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",34.0
137827,47664,17-2112,"Warren-Troy-Farmington Hills, MI Metropolitan Division",12040.0,Industrial Engineers,1204.0
137828,47664,17-2131,"Warren-Troy-Farmington Hills, MI Metropolitan Division",590.0,Materials Engineers,59.0
137829,47664,17-2141,"Warren-Troy-Farmington Hills, MI Metropolitan Division",21970.0,Mechanical Engineers,2197.0
137830,47664,17-2199,"Warren-Troy-Farmington Hills, MI Metropolitan Division",4100.0,"Engineers, All Other",410.0
137831,47664,17-3011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1140.0,Architectural and Civil Drafters,114.0
137833,47664,17-3013,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1320.0,Mechanical Drafters,132.0
137834,47664,17-3019,"Warren-Troy-Farmington Hills, MI Metropolitan Division",140.0,"Drafters, All Other",14.0
137835,47664,17-3022,"Warren-Troy-Farmington Hills, MI Metropolitan Division",930.0,Civil Engineering Technicians,93.0
137836,47664,17-3023,"Warren-Troy-Farmington Hills, MI Metropolitan Division",880.0,Electrical and Electronics Engineering Technicians,88.0
137837,47664,17-3024,"Warren-Troy-Farmington Hills, MI Metropolitan Division",260.0,Electro-Mechanical Technicians,26.0
137838,47664,17-3026,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1610.0,Industrial Engineering Technicians,161.0
137839,47664,17-3027,"Warren-Troy-Farmington Hills, MI Metropolitan Division",2540.0,Mechanical Engineering Technicians,254.0
137840,47664,17-3029,"Warren-Troy-Farmington Hills, MI Metropolitan Division",900.0,"Engineering Technicians, Except Drafters, All Other",90.0
137841,47664,17-3031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",400.0,Surveying and Mapping Technicians,40.0
137844,47664,19-1042,"Warren-Troy-Farmington Hills, MI Metropolitan Division",140.0,"Medical Scientists, Except Epidemiologists",14.0
137845,47664,19-2012,"Warren-Troy-Farmington Hills, MI Metropolitan Division",60.0,Physicists,6.0
137846,47664,19-2031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",910.0,Chemists,91.0
137847,47664,19-2032,"Warren-Troy-Farmington Hills, MI Metropolitan Division",70.0,Materials Scientists,7.0
137848,47664,19-2041,"Warren-Troy-Farmington Hills, MI Metropolitan Division",490.0,"Environmental Scientists and Specialists, Including Health",49.0
137849,47664,19-2042,"Warren-Troy-Farmington Hills, MI Metropolitan Division",120.0,"Geoscientists, Except Hydrologists and Geographers",12.0
137850,47664,19-3011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",50.0,Economists,5.0
137851,47664,19-3022,"Warren-Troy-Farmington Hills, MI Metropolitan Division",60.0,Survey Researchers,6.0
137852,47664,19-3031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",570.0,"Clinical, Counseling, and School Psychologists",57.0
137853,47664,19-3051,"Warren-Troy-Farmington Hills, MI Metropolitan Division",210.0,Urban and Regional Planners,21.0
137854,47664,19-3099,"Warren-Troy-Farmington Hills, MI Metropolitan Division",40.0,"Social Scientists and Related Workers, All Other",4.0
137855,47664,19-4011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",60.0,Agricultural and Food Science Technicians,6.0
137856,47664,19-4021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",90.0,Biological Technicians,9.0
137857,47664,19-4031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",730.0,Chemical Technicians,73.0
137858,47664,19-4041,"Warren-Troy-Farmington Hills, MI Metropolitan Division",40.0,Geological and Petroleum Technicians,4.0
137859,47664,19-4091,"Warren-Troy-Farmington Hills, MI Metropolitan Division",150.0,"Environmental Science and Protection Technicians, Including Health",15.0
137860,47664,19-4092,"Warren-Troy-Farmington Hills, MI Metropolitan Division",50.0,Forensic Science Technicians,5.0
137861,47664,19-4099,"Warren-Troy-Farmington Hills, MI Metropolitan Division",130.0,"Life, Physical, and Social Science Technicians, All Other",13.0
137863,47664,21-1012,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1270.0,"Educational, Guidance, School, and Vocational Counselors",127.0
137864,47664,21-1013,"Warren-Troy-Farmington Hills, MI Metropolitan Division",50.0,Marriage and Family Therapists,5.0
137865,47664,21-1015,"Warren-Troy-Farmington Hills, MI Metropolitan Division",810.0,Rehabilitation Counselors,81.0
137866,47664,21-1018,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1350.0,"Substance Abuse, Behavioral Disorder, and Mental Health Counselors",135.0
137867,47664,21-1021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",2490.0,"Child, Family, and School Social Workers",249.0
137868,47664,21-1022,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1050.0,Healthcare Social Workers,105.0
137869,47664,21-1023,"Warren-Troy-Farmington Hills, MI Metropolitan Division",760.0,Mental Health and Substance Abuse Social Workers,76.0
137870,47664,21-1029,"Warren-Troy-Farmington Hills, MI Metropolitan Division",60.0,"Social Workers, All Other",6.0
137871,47664,21-1091,"Warren-Troy-Farmington Hills, MI Metropolitan Division",260.0,Health Educators,26.0
137872,47664,21-1092,"Warren-Troy-Farmington Hills, MI Metropolitan Division",420.0,Probation Officers and Correctional Treatment Specialists,42.0
137873,47664,21-1093,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1820.0,Social and Human Service Assistants,182.0
137874,47664,21-1094,"Warren-Troy-Farmington Hills, MI Metropolitan Division",310.0,Community Health Workers,31.0
137875,47664,21-1099,"Warren-Troy-Farmington Hills, MI Metropolitan Division",80.0,"Community and Social Service Specialists, All Other",8.0
137876,47664,21-2011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",580.0,Clergy,58.0
137877,47664,21-2021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",330.0,"Directors, Religious Activities and Education",33.0
137879,47664,23-1011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",6980.0,Lawyers,698.0
137880,47664,23-1012,"Warren-Troy-Farmington Hills, MI Metropolitan Division",50.0,Judicial Law Clerks,5.0
137881,47664,23-1021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",90.0,"Administrative Law Judges, Adjudicators, and Hearing Officers",9.0
137882,47664,23-1022,"Warren-Troy-Farmington Hills, MI Metropolitan Division",30.0,"Arbitrators, Mediators, and Conciliators",3.0
137883,47664,23-1023,"Warren-Troy-Farmington Hills, MI Metropolitan Division",130.0,"Judges, Magistrate Judges, and Magistrates",13.0
137884,47664,23-2011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",3220.0,Paralegals and Legal Assistants,322.0
137885,47664,23-2093,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1020.0,"Title Examiners, Abstractors, and Searchers",102.0
137887,47664,25-1011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",360.0,"Business Teachers, Postsecondary",36.0
137888,47664,25-1021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",120.0,"Computer Science Teachers, Postsecondary",12.0
137889,47664,25-1022,"Warren-Troy-Farmington Hills, MI Metropolitan Division",210.0,"Mathematical Science Teachers, Postsecondary",21.0
137890,47664,25-1032,"Warren-Troy-Farmington Hills, MI Metropolitan Division",100.0,"Engineering Teachers, Postsecondary",10.0
137891,47664,25-1042,"Warren-Troy-Farmington Hills, MI Metropolitan Division",90.0,"Biological Science Teachers, Postsecondary",9.0
137892,47664,25-1052,"Warren-Troy-Farmington Hills, MI Metropolitan Division",50.0,"Chemistry Teachers, Postsecondary",5.0
137893,47664,25-1054,"Warren-Troy-Farmington Hills, MI Metropolitan Division",30.0,"Physics Teachers, Postsecondary",3.0
137894,47664,25-1063,"Warren-Troy-Farmington Hills, MI Metropolitan Division",40.0,"Economics Teachers, Postsecondary",4.0
137895,47664,25-1065,"Warren-Troy-Farmington Hills, MI Metropolitan Division",50.0,"Political Science Teachers, Postsecondary",5.0
137896,47664,25-1066,"Warren-Troy-Farmington Hills, MI Metropolitan Division",110.0,"Psychology Teachers, Postsecondary",11.0
137897,47664,25-1067,"Warren-Troy-Farmington Hills, MI Metropolitan Division",50.0,"Sociology Teachers, Postsecondary",5.0
137898,47664,25-1072,"Warren-Troy-Farmington Hills, MI Metropolitan Division",180.0,"Nursing Instructors and Teachers, Postsecondary",18.0
137899,47664,25-1081,"Warren-Troy-Farmington Hills, MI Metropolitan Division",60.0,"Education Teachers, Postsecondary",6.0
137901,47664,25-1113,"Warren-Troy-Farmington Hills, MI Metropolitan Division",60.0,"Social Work Teachers, Postsecondary",6.0
137902,47664,25-1121,"Warren-Troy-Farmington Hills, MI Metropolitan Division",180.0,"Art, Drama, and Music Teachers, Postsecondary",18.0
137903,47664,25-1122,"Warren-Troy-Farmington Hills, MI Metropolitan Division",120.0,"Communications Teachers, Postsecondary",12.0
137904,47664,25-1123,"Warren-Troy-Farmington Hills, MI Metropolitan Division",290.0,"English Language and Literature Teachers, Postsecondary",29.0
137905,47664,25-1124,"Warren-Troy-Farmington Hills, MI Metropolitan Division",40.0,"Foreign Language and Literature Teachers, Postsecondary",4.0
137906,47664,25-1125,"Warren-Troy-Farmington Hills, MI Metropolitan Division",50.0,"History Teachers, Postsecondary",5.0
137907,47664,25-1126,"Warren-Troy-Farmington Hills, MI Metropolitan Division",120.0,"Philosophy and Religion Teachers, Postsecondary",12.0
137908,47664,25-1191,"Warren-Troy-Farmington Hills, MI Metropolitan Division",120.0,Graduate Teaching Assistants,12.0
137910,47664,25-1194,"Warren-Troy-Farmington Hills, MI Metropolitan Division",890.0,"Vocational Education Teachers, Postsecondary",89.0
137911,47664,25-1199,"Warren-Troy-Farmington Hills, MI Metropolitan Division",680.0,"Postsecondary Teachers, All Other",68.0
137912,47664,25-2011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",2550.0,"Preschool Teachers, Except Special Education",255.0
137913,47664,25-2012,"Warren-Troy-Farmington Hills, MI Metropolitan Division",500.0,"Kindergarten Teachers, Except Special Education",50.0
137914,47664,25-2021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",9580.0,"Elementary School Teachers, Except Special Education",958.0
137915,47664,25-2022,"Warren-Troy-Farmington Hills, MI Metropolitan Division",4490.0,"Middle School Teachers, Except Special and Career/Technical Education",449.0
137917,47664,25-2031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",5190.0,"Secondary School Teachers, Except Special and Career/Technical Education",519.0
137918,47664,25-2032,"Warren-Troy-Farmington Hills, MI Metropolitan Division",230.0,"Career/Technical Education Teachers, Secondary School",23.0
137919,47664,25-2051,"Warren-Troy-Farmington Hills, MI Metropolitan Division",60.0,"Special Education Teachers, Preschool",6.0
137920,47664,25-2052,"Warren-Troy-Farmington Hills, MI Metropolitan Division",420.0,"Special Education Teachers, Kindergarten and Elementary School",42.0
137921,47664,25-2053,"Warren-Troy-Farmington Hills, MI Metropolitan Division",250.0,"Special Education Teachers, Middle School",25.0
137922,47664,25-2054,"Warren-Troy-Farmington Hills, MI Metropolitan Division",360.0,"Special Education Teachers, Secondary School",36.0
137923,47664,25-2059,"Warren-Troy-Farmington Hills, MI Metropolitan Division",410.0,"Special Education Teachers, All Other",41.0
137924,47664,25-3011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",300.0,Adult Basic and Secondary Education and Literacy Teachers and Instructors,30.0
137925,47664,25-3021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1850.0,Self-Enrichment Education Teachers,185.0
137926,47664,25-3097,"Warren-Troy-Farmington Hills, MI Metropolitan Division",3350.0,"Teachers and Instructors, All Other, Except Substitute Teachers",335.0
137927,47664,25-3098,"Warren-Troy-Farmington Hills, MI Metropolitan Division",5920.0,Substitute Teachers,592.0
137928,47664,25-4021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",890.0,Librarians,89.0
137929,47664,25-4031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",760.0,Library Technicians,76.0
137930,47664,25-9031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1110.0,Instructional Coordinators,111.0
137931,47664,25-9041,"Warren-Troy-Farmington Hills, MI Metropolitan Division",8440.0,Teacher Assistants,844.0
137933,47664,27-1011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",640.0,Art Directors,64.0
137935,47664,27-1014,"Warren-Troy-Farmington Hills, MI Metropolitan Division",160.0,Multimedia Artists and Animators,16.0
137936,47664,27-1021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",3550.0,Commercial and Industrial Designers,355.0
137937,47664,27-1023,"Warren-Troy-Farmington Hills, MI Metropolitan Division",270.0,Floral Designers,27.0
137938,47664,27-1024,"Warren-Troy-Farmington Hills, MI Metropolitan Division",3330.0,Graphic Designers,333.0
137939,47664,27-1025,"Warren-Troy-Farmington Hills, MI Metropolitan Division",610.0,Interior Designers,61.0
137940,47664,27-1026,"Warren-Troy-Farmington Hills, MI Metropolitan Division",890.0,Merchandise Displayers and Window Trimmers,89.0
137941,47664,27-1027,"Warren-Troy-Farmington Hills, MI Metropolitan Division",60.0,Set and Exhibit Designers,6.0
137942,47664,27-2011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",40.0,Actors,4.0
137943,47664,27-2012,"Warren-Troy-Farmington Hills, MI Metropolitan Division",880.0,Producers and Directors,88.0
137944,47664,27-2022,"Warren-Troy-Farmington Hills, MI Metropolitan Division",3230.0,Coaches and Scouts,323.0
137946,47664,27-2041,"Warren-Troy-Farmington Hills, MI Metropolitan Division",130.0,Music Directors and Composers,13.0
137947,47664,27-2042,"Warren-Troy-Farmington Hills, MI Metropolitan Division",170.0,Musicians and Singers,17.0
137948,47664,27-3011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",140.0,Radio and Television Announcers,14.0
137949,47664,27-3021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",50.0,Broadcast News Analysts,5.0
137950,47664,27-3022,"Warren-Troy-Farmington Hills, MI Metropolitan Division",320.0,Reporters and Correspondents,32.0
137951,47664,27-3031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1500.0,Public Relations Specialists,150.0
137952,47664,27-3041,"Warren-Troy-Farmington Hills, MI Metropolitan Division",400.0,Editors,40.0
137953,47664,27-3042,"Warren-Troy-Farmington Hills, MI Metropolitan Division",600.0,Technical Writers,60.0
137954,47664,27-3043,"Warren-Troy-Farmington Hills, MI Metropolitan Division",310.0,Writers and Authors,31.0
137956,47664,27-3099,"Warren-Troy-Farmington Hills, MI Metropolitan Division",180.0,"Media and Communication Workers, All Other",18.0
137957,47664,27-4011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",350.0,Audio and Video Equipment Technicians,35.0
137958,47664,27-4012,"Warren-Troy-Farmington Hills, MI Metropolitan Division",360.0,Broadcast Technicians,36.0
137959,47664,27-4014,"Warren-Troy-Farmington Hills, MI Metropolitan Division",40.0,Sound Engineering Technicians,4.0
137960,47664,27-4021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",540.0,Photographers,54.0
137961,47664,27-4031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",100.0,"Camera Operators, Television, Video, and Motion Picture",10.0
137962,47664,27-4032,"Warren-Troy-Farmington Hills, MI Metropolitan Division",150.0,Film and Video Editors,15.0
137964,47664,29-1011,"Warren-Troy-Farmington Hills, MI Metropolitan Division",310.0,Chiropractors,31.0
137965,47664,29-1021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1540.0,"Dentists, General",154.0
137966,47664,29-1031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",280.0,Dietitians and Nutritionists,28.0
137967,47664,29-1041,"Warren-Troy-Farmington Hills, MI Metropolitan Division",600.0,Optometrists,60.0
137968,47664,29-1051,"Warren-Troy-Farmington Hills, MI Metropolitan Division",2360.0,Pharmacists,236.0
137969,47664,29-1062,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1280.0,Family and General Practitioners,128.0
137970,47664,29-1063,"Warren-Troy-Farmington Hills, MI Metropolitan Division",500.0,"Internists, General",50.0
137971,47664,29-1064,"Warren-Troy-Farmington Hills, MI Metropolitan Division",250.0,Obstetricians and Gynecologists,25.0
137973,47664,29-1067,"Warren-Troy-Farmington Hills, MI Metropolitan Division",450.0,Surgeons,45.0
137974,47664,29-1069,"Warren-Troy-Farmington Hills, MI Metropolitan Division",4300.0,"Physicians and Surgeons, All Other",430.0
137975,47664,29-1071,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1330.0,Physician Assistants,133.0
137976,47664,29-1081,"Warren-Troy-Farmington Hills, MI Metropolitan Division",150.0,Podiatrists,15.0
137977,47664,29-1122,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1410.0,Occupational Therapists,141.0
137978,47664,29-1123,"Warren-Troy-Farmington Hills, MI Metropolitan Division",2900.0,Physical Therapists,290.0
137979,47664,29-1124,"Warren-Troy-Farmington Hills, MI Metropolitan Division",100.0,Radiation Therapists,10.0
137980,47664,29-1125,"Warren-Troy-Farmington Hills, MI Metropolitan Division",140.0,Recreational Therapists,14.0
137981,47664,29-1126,"Warren-Troy-Farmington Hills, MI Metropolitan Division",990.0,Respiratory Therapists,99.0
137982,47664,29-1127,"Warren-Troy-Farmington Hills, MI Metropolitan Division",900.0,Speech-Language Pathologists,90.0
137983,47664,29-1128,"Warren-Troy-Farmington Hills, MI Metropolitan Division",110.0,Exercise Physiologists,11.0
137985,47664,29-1131,"Warren-Troy-Farmington Hills, MI Metropolitan Division",670.0,Veterinarians,67.0
137986,47664,29-1141,"Warren-Troy-Farmington Hills, MI Metropolitan Division",20840.0,Registered Nurses,2084.0
137987,47664,29-1151,"Warren-Troy-Farmington Hills, MI Metropolitan Division",480.0,Nurse Anesthetists,48.0
137988,47664,29-1171,"Warren-Troy-Farmington Hills, MI Metropolitan Division",1000.0,Nurse Practitioners,100.0
137989,47664,29-1181,"Warren-Troy-Farmington Hills, MI Metropolitan Division",30.0,Audiologists,3.0
137991,47664,29-2021,"Warren-Troy-Farmington Hills, MI Metropolitan Division",3360.0,Dental Hygienists,336.0
137992,47664,29-2031,"Warren-Troy-Farmington Hills, MI Metropolitan Division",610.0,Cardiovascular Technologists and Technicians,61.0
137993,47664,29-2032,"Warren-Troy-Farmington Hills, MI Metropolitan Division",630.0,Diagnostic Medical Sonographers,63.0
